
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty RON	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty SEK	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty TRY	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty UAH	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty USD	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 1.03	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 2.6	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 2.92	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 4.63	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 0.48	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 4.33	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 5.01	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 0.011	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 0.9	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 0.026	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 0.3	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 0.83	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 0.36	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 0.12	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 0.097	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 3.96	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 1.17	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 2.72	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 2.98	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 4.69	
